"name","mz","rt"
"pRPLC_1",367.1725789,470.80099998
"pRPLC_2",439.2302483,562.26
"pRPLC_3",429.2482899,580.70800002
"pRPLC_4",597.2882457,572.57899998
"pRPLC_5",564.3014741,540.948
"pRPLC_6",472.3034653,608.4340002
"pRPLC_7",869.4498588,639.654
"pRPLC_8",569.2569591,686.7469998
"pRPLC_9",447.3469493,803.3749998
"pRPLC_10",381.2972133,948.7480002
"pRPLC_11",683.3604444,783.1939998
"pRPLC_12",401.2167944,671.655
"pRPLC_13",811.40837,631.917
"pRPLC_14",783.3769877,612.0190002
"pRPLC_15",373.1849442,595.998
"pRPLC_16",655.3299994,586.55200002
"pRPLC_17",382.1429351,250.11499998
"pRPLC_18",120.080893,57.72199998
"pRPLC_19",350.0845861,66.94900002
"pRPLC_20",188.070789,89.98399998
"pRPLC_21",368.1273068,184.584
"pRPLC_22",287.1002464,220.923
"pRPLC_23",227.0889965,257.73799998
"pRPLC_24",221.0785836,281.616
"pRPLC_25",363.1624004,276.345
"pRPLC_26",451.2148984,324.252
"pRPLC_27",188.0708263,240.05500002
"pRPLC_28",305.0957168,209.54899998
"pRPLC_29",350.1168209,209.54899998
"pRPLC_30",324.1375702,184.251
"pRPLC_31",247.1442438,177.23899998
"pRPLC_32",221.0922115,89.34700002
"pRPLC_33",188.0707223,284.241
"pRPLC_34",694.8003868,287.16700002
"pRPLC_35",407.1886098,302.42599998
"pRPLC_36",437.2356061,325.245
"pRPLC_37",204.0657805,336.00199998
"pRPLC_38",435.1262136,351.80299998
"pRPLC_39",215.1279939,359.60500002
"pRPLC_40",203.1045829,373.77199998
"pRPLC_41",327.1050446,378.411
"pRPLC_42",369.151742,378.087
"pRPLC_43",355.1361099,405.13600002
"pRPLC_44",259.0942664,406.42900002
"pRPLC_45",301.1183714,402.516
"pRPLC_46",269.1360783,426.07699998
"pRPLC_47",297.1308787,438.216
"pRPLC_48",381.1675062,437.23999998
"pRPLC_49",517.1821548,449.685
"pRPLC_50",277.1411448,471.46600002
"pRPLC_51",421.1832291,480.19399998
"pRPLC_52",441.2092495,490.70299998
"pRPLC_53",383.1673155,461.98999998
"pRPLC_54",397.1830573,506.718
"pRPLC_55",541.2259456,505.10599998
"pRPLC_56",383.2039646,525.606
"pRPLC_57",429.2482901,532.51300002
"pRPLC_58",899.6348759,543.87499998
"pRPLC_59",527.2829921,551.71300002
"pRPLC_60",301.1773302,564.84499998
"pRPLC_61",333.1542542,587.85700002
"pRPLC_62",301.1411759,593.415
"pRPLC_63",383.1675007,615.6289998
